400 PA5-F-Debug-Output.txt 6
 -140.4854   21.4797   82.4886   68.3063  -45.1413  -35.4587
   29.39     9.04   -23.99        29.39     9.04   -24.00     0.013
   34.01     4.39    21.29        34.04     4.39    21.30     0.030
  -13.30   -16.53   -48.27       -13.32   -16.51   -48.22     0.056
    4.52    10.53    -5.44         4.52    10.57    -5.48     0.058
  -37.33   -21.05   -16.71       -37.41   -21.09   -16.64     0.111
  -15.85    -6.95     4.44       -15.85    -6.96     4.44     0.008
    4.05    24.41    33.05         4.05    24.58    33.10     0.177
    5.77   -14.68     2.07         5.78   -14.78     2.10     0.101
  -10.02    -6.93    12.53        -9.97    -6.90    12.51     0.057
  -37.20   -18.63   -43.22       -37.09   -18.57   -43.13     0.157
  -16.61     3.78     9.11       -16.53     3.81     9.09     0.088
   33.03     7.95    21.29        33.03     7.95    21.28     0.007
   -9.87    29.93    23.09        -9.87    29.93    23.09     0.001
   35.11    -1.32    -5.38        35.19    -1.36    -5.37     0.097
   13.60    24.62   -13.11        13.59    24.66   -13.11     0.032
  -22.80   -32.67   -25.89       -22.81   -32.59   -25.90     0.074
   27.61     4.52    49.20        27.59     4.52    49.19     0.021
    0.49    13.44    55.58         0.52    13.41    55.49     0.099
   21.33   -12.29     0.35        21.32   -12.26     0.34     0.030
    1.51   -11.18   -27.58         1.51   -11.18   -27.57     0.009
   -5.83     7.44    54.38        -5.80     7.41    54.34     0.055
   -5.49    -0.61    48.50        -5.52    -0.62    48.51     0.031
  -18.28     8.35   -16.06       -18.25     8.24   -16.11     0.129
   30.32     9.37    27.92        30.32     9.37    27.92     0.000
  -35.21   -27.55   -34.82       -35.21   -27.55   -34.82     0.002
   26.27    -0.53    52.39        26.21    -0.52    52.37     0.064
  -38.98   -16.45   -40.12       -39.08   -16.48   -40.16     0.108
  -30.26   -28.32   -39.04       -30.31   -28.42   -39.09     0.127
   11.99     7.64   -11.96        11.93     7.61   -11.99     0.082
  -37.67   -22.01   -39.48       -37.63   -21.98   -39.45     0.063
  -12.26   -18.14    -6.53       -12.27   -18.15    -6.51     0.024
   -8.38    19.23    11.66        -8.38    19.22    11.68     0.025
    9.52     6.13    -9.34         9.53     6.15    -9.35     0.024
   26.27     0.98   -24.03        26.27     0.94   -24.08     0.059
  -40.98   -16.73   -18.29       -40.94   -16.72   -18.31     0.048
  -36.25     6.60   -24.52       -36.30     6.65   -24.51     0.069
   31.11    -0.85    29.51        31.03    -0.82    29.49     0.080
   28.33     0.77    44.12        28.29     0.78    44.11     0.042
   -1.19    24.15    35.27        -1.16    24.26    35.32     0.119
   27.56     3.61    49.99        27.43     3.60    49.96     0.136
    1.97   -21.13   -14.64         1.95   -21.05   -14.64     0.091
  -13.76   -25.23   -13.84       -13.76   -25.20   -13.85     0.031
   -2.89   -14.71     2.84        -2.89   -14.61     2.77     0.118
   35.50    -3.08    12.21        35.53    -3.10    12.21     0.036
  -20.17     7.66   -16.06       -20.18     7.70   -16.03     0.052
   11.45    24.72    36.23        11.46    24.68    36.21     0.048
    8.11    17.79   -14.32         8.01    17.73   -14.31     0.117
  -20.51   -20.50   -48.90       -20.51   -20.48   -48.86     0.048
  -19.26    21.09    18.16       -19.24    21.09    18.16     0.023
   23.69    -4.59    54.13        23.67    -4.57    54.13     0.022
   -5.35   -20.67    -7.30        -5.37   -20.62    -7.34     0.063
   27.36    -1.01    46.82        27.30    -0.99    46.81     0.063
  -30.88   -26.75   -17.10       -30.88   -26.75   -17.09     0.007
    8.60    20.75    50.10         8.61    20.72    50.09     0.028
  -20.16   -28.66   -15.99       -20.19   -28.61   -16.06     0.086
  -13.00   -27.91   -19.77       -13.00   -27.90   -19.78     0.019
   -3.95    20.41    11.37        -3.94    20.39    11.40     0.039
   -6.24     2.48    48.14        -6.31     2.49    48.14     0.074
  -32.12   -30.13   -28.96       -32.17   -30.25   -28.97     0.129
  -26.76     1.79   -13.52       -26.78     1.81   -13.50     0.037
    1.49    18.78     3.39         1.48    18.79     3.39     0.013
    9.43    27.80    11.55         9.42    27.90    11.55     0.105
    8.17   -16.96    -5.12         8.18   -17.04    -5.11     0.079
  -23.60   -10.37    -5.70       -23.58   -10.36    -5.73     0.038
   12.45    -0.43    56.67        12.45    -0.43    56.66     0.020
   -6.02   -26.38   -28.68        -6.06   -26.33   -28.67     0.065
   30.86    16.77    -6.55        30.94    16.85    -6.56     0.115
   27.78     0.44    46.11        27.90     0.42    46.14     0.121
    2.69    24.02     8.15         2.79    23.88     8.17     0.174
   30.98    -1.45    28.98        30.85    -1.35    28.95     0.161
   -3.79   -22.65   -34.84        -3.79   -22.65   -34.84     0.003
  -34.59     7.54   -34.03       -34.64     7.63   -34.06     0.105
    4.16   -19.94   -12.43         4.19   -20.01   -12.41     0.073
   -3.52    22.98    12.68        -3.40    22.90    12.81     0.195
  -39.23   -24.86   -28.34       -39.28   -24.90   -28.33     0.066
    7.48    18.82    -8.36         7.53    18.86    -8.32     0.072
  -18.97   -27.35   -43.11       -18.97   -27.34   -43.10     0.003
  -24.46   -30.14   -38.94       -24.46   -30.13   -38.93     0.011
   -5.96   -10.92   -43.47        -5.95   -10.92   -43.48     0.014
  -35.72     3.98   -39.91       -35.69     3.95   -39.89     0.046
  -41.67   -20.34   -28.76       -41.73   -20.36   -28.76     0.069
  -14.72   -27.79   -40.99       -14.72   -27.78   -40.98     0.014
   22.98    15.19    44.18        23.10    15.30    44.20     0.172
  -34.72     3.42   -41.44       -34.72     3.42   -41.44     0.006
   -0.47   -13.27     9.27        -0.47   -13.31     9.28     0.045
  -39.99   -11.91   -38.04       -39.90   -11.89   -38.01     0.099
   39.39     5.94    -2.45        39.41     5.94    -2.45     0.018
   16.76     0.44   -16.98        16.78     0.45   -16.96     0.027
   16.36    -6.47    39.60        16.35    -6.34    39.60     0.134
   -3.25    -3.01    55.28        -3.29    -3.03    55.32     0.061
    0.66    26.12    30.08         0.61    25.95    30.02     0.179
   28.46    16.84    16.07        28.45    16.84    16.07     0.006
   22.88    -5.92    42.38        22.87    -5.83    42.38     0.086
   32.61    -0.87    24.50        32.46    -0.82    24.43     0.171
    2.25    23.91     9.14         2.28    23.83     9.17     0.095
   27.17    22.25     5.86        27.14    22.23     5.86     0.035
   -9.27    -6.81    14.08        -9.27    -6.81    14.08     0.002
   23.74   -12.10    -2.73        23.78   -12.24    -2.71     0.139
  -39.87     2.63   -30.70       -39.90     2.65   -30.70     0.032
    2.06    18.76    52.72         2.04    18.82    52.72     0.060
   16.70    12.23    55.40        16.70    12.23    55.40     0.002
    9.88    -8.23    50.98         9.88    -8.22    50.98     0.001
   37.03     4.54    14.42        37.13     4.57    14.48     0.123
  -25.11   -32.47   -32.01       -25.11   -32.46   -32.01     0.009
  -24.15    10.64   -37.44       -24.13    10.52   -37.41     0.123
   -2.39     7.54   -12.02        -2.40     7.47   -12.01     0.069
  -39.39   -23.04   -21.72       -39.36   -23.01   -21.74     0.043
  -25.98   -23.18   -11.21       -25.98   -23.19   -11.20     0.014
   34.55     4.13   -13.79        34.61     4.17   -13.83     0.073
   34.32     3.48    20.91        34.29     3.47    20.91     0.024
  -29.81   -25.02   -43.76       -29.80   -25.01   -43.75     0.022
   22.27    -6.12    46.08        22.25    -6.07    46.08     0.052
  -29.65   -13.18    -9.01       -29.63   -13.15    -9.08     0.079
    9.86    24.40    -4.89         9.91    24.25    -4.85     0.165
   15.62   -15.23    -5.81        15.65   -15.17    -5.78     0.072
  -34.92     8.79   -27.33       -34.86     8.72   -27.34     0.092
   -5.29    10.34    45.07        -5.25    10.33    45.07     0.049
  -24.61     8.61   -18.73       -24.60     8.54   -18.84     0.129
  -25.56    10.85   -35.92       -25.56    10.76   -35.90     0.093
  -43.79   -13.63   -29.60       -43.74   -13.63   -29.60     0.051
  -11.52    22.01    33.68       -11.59    22.01    33.76     0.109
   14.23    -6.29    27.06        14.24    -6.39    27.06     0.103
  -23.23     9.47   -20.07       -23.23     9.48   -20.07     0.004
  -24.81   -32.59   -24.73       -24.81   -32.63   -24.73     0.037
   31.56     3.26    30.77        31.55     3.26    30.77     0.009
   10.42    -0.51    56.86        10.42    -0.52    56.87     0.011
  -35.34    -1.89   -45.55       -35.31    -1.91   -45.49     0.072
  -27.54   -31.42   -22.46       -27.56   -31.46   -22.44     0.045
   12.78    26.52     1.72        12.77    26.66     1.68     0.148
  -35.10     2.69   -42.00       -35.15     2.75   -42.06     0.097
   21.22   -11.26     2.68        21.25   -11.34     2.72     0.098
   26.20   -12.73    -8.97        26.23   -12.86    -8.93     0.136
   38.10     3.33     1.42        38.03     3.37     1.43     0.086
  -30.05    -2.74   -48.88       -30.05    -2.75   -48.86     0.025
   -4.94    -6.61    29.24        -4.93    -6.60    29.23     0.019
   31.14    15.33    13.97        31.16    15.34    13.99     0.030
   21.08    -7.05    17.59        21.08    -7.06    17.59     0.004
  -31.41   -30.75   -29.61       -31.34   -30.59   -29.60     0.170
   -8.13     7.92    29.50        -8.24     7.92    29.53     0.113
   17.83   -15.36    -4.03        17.83   -15.35    -4.03     0.001
   -5.75    -0.70    33.58        -5.68    -0.68    33.57     0.070
  -35.67    -8.02   -47.46       -35.64    -8.03   -47.43     0.041
    0.12    -7.38    33.54         0.10    -7.43    33.56     0.057
  -15.93     1.98     9.14       -16.06     1.97     9.21     0.147
  -39.48    -9.18   -40.79       -39.45    -9.18   -40.78     0.025
   36.45     7.98    -7.39        36.62     8.09    -7.49     0.230
   20.62     2.64    56.82        20.62     2.65    56.84     0.019
  -30.32   -16.42   -49.01       -30.32   -16.43   -49.05     0.040
   13.39    28.01    16.67        13.39    28.01    16.67     0.003
  -37.73   -13.97   -45.05       -37.69   -13.96   -45.03     0.045
   -6.96    29.01    21.85        -6.95    29.07    21.84     0.060
   20.75    -7.87   -16.01        20.79    -7.81   -15.97     0.080
    9.74    -7.16    34.70         9.74    -7.20    34.71     0.040
   -5.45    -0.31   -29.51        -5.40    -0.26   -29.51     0.078
   -3.95    28.17    21.06        -4.00    27.99    21.07     0.186
  -12.82     9.14   -15.10       -12.82     9.11   -15.11     0.029
   16.26   -12.70     5.12        16.26   -12.70     5.12     0.000
    0.87    19.14     4.97         0.86    19.16     4.96     0.024
   -2.53   -12.38    14.82        -2.52   -12.35    14.82     0.025
   30.42     4.25    34.89        30.52     4.26    34.91     0.110
   31.44    12.69    16.23        31.43    12.69    16.22     0.009
   27.29    21.93     2.67        27.24    21.89     2.68     0.070
  -25.42   -25.78   -13.14       -25.42   -25.79   -13.13     0.015
   -2.53    -4.09    50.72        -2.48    -4.04    50.71     0.073
   -4.36   -15.20   -39.99        -4.37   -15.20   -39.99     0.015
   22.33    17.79   -22.46        22.32    17.77   -22.45     0.021
   -9.65    12.00    28.31        -9.59    12.04    28.29     0.077
  -14.59     7.67     4.77       -14.65     7.71     4.74     0.078
  -34.27    -0.71   -14.65       -34.25    -0.67   -14.64     0.044
   -4.38     2.69   -22.25        -4.37     2.70   -22.26     0.015
   28.52    21.53     9.17        28.40    21.42     9.15     0.172
   11.39     5.02    56.31        11.39     5.01    56.29     0.020
   14.71    -1.72   -17.01        14.71    -1.72   -17.00     0.009
   31.24    18.62     9.00        31.16    18.54     9.00     0.116
   -9.30     3.39    24.56        -9.16     3.43    24.51     0.149
   22.07   -12.55    -1.16        22.05   -12.52    -1.17     0.032
   34.35    -4.03     9.53        34.58    -4.15     9.50     0.264
  -31.98     9.48   -22.86       -32.05     9.62   -22.81     0.165
   34.25     7.85    16.59        34.33     7.90    16.63     0.103
   29.90    13.28   -19.32        29.85    13.25   -19.29     0.071
   19.86   -12.70     0.79        19.86   -12.71     0.80     0.016
   30.84    -4.94   -18.53        30.82    -4.92   -18.49     0.051
  -17.05   -29.36   -18.84       -17.05   -29.37   -18.83     0.005
   -7.51    -5.06    23.74        -7.50    -5.06    23.74     0.002
    5.26    -9.60    19.55         5.30    -9.74    19.61     0.149
  -25.08     5.62   -16.24       -25.07     5.58   -16.28     0.054
   28.03     4.28    46.54        28.15     4.28    46.56     0.118
  -17.97     3.95    -2.61       -17.94     3.91    -2.62     0.053
   -5.86    15.62    40.39        -5.70    15.64    40.34     0.167
   18.43   -12.80     2.51        18.40   -12.72     2.48     0.085
   14.12    27.91    15.70        14.11    27.87    15.70     0.046
  -32.13     4.12   -15.85       -32.12     4.07   -15.92     0.088
  -10.04   -25.11   -13.60       -10.04   -25.14   -13.59     0.031
   23.75    -4.96    47.54        23.84    -5.04    47.57     0.120
  -38.87   -13.10   -42.46       -38.88   -13.10   -42.46     0.011
   17.79    -7.74    52.45        17.76    -7.53    52.42     0.210
  -14.25    12.99    20.25       -14.38    12.88    20.29     0.171
   24.94    12.12    50.24        24.84    12.07    50.23     0.119
    5.33    19.23    54.02         5.33    19.23    54.02     0.001
   15.44   -15.60    -4.88        15.47   -15.52    -4.85     0.094
  -11.53   -20.73   -45.28       -11.50   -20.74   -45.33     0.059
    4.97    21.33    -0.69         4.94    21.35    -0.71     0.040
  -37.44   -15.30   -13.94       -37.43   -15.29   -13.95     0.017
   31.61    -6.61    10.20        31.62    -6.54    10.15     0.085
   29.86    -7.65   -18.22        29.78    -7.59   -18.17     0.116
    3.60    20.49     1.40         3.58    20.49     1.39     0.015
  -23.06   -10.26    -5.39       -23.10   -10.29    -5.33     0.075
  -38.07    -6.66   -42.84       -38.18    -6.63   -42.89     0.120
  -44.27    -7.05   -25.20       -44.20    -7.07   -25.23     0.088
   31.56     8.44   -22.32        31.56     8.45   -22.32     0.005
   31.55    18.31     5.51        31.55    18.30     5.51     0.007
    5.31   -15.28   -19.60         5.37   -15.29   -19.65     0.081
   16.17   -10.04     9.97        16.16    -9.99     9.94     0.053
   28.11    -3.08   -21.26        28.07    -3.08   -21.32     0.073
   13.93   -15.83    -2.23        13.95   -15.93    -2.24     0.104
   -5.02   -23.89   -33.81        -5.01   -23.91   -33.82     0.021
  -16.71    16.25    22.96       -16.68    16.29    22.95     0.053
   -4.45     0.17   -26.23        -4.41     0.22   -26.25     0.069
  -37.77   -22.63   -38.58       -37.77   -22.63   -38.58     0.001
  -15.84   -17.23   -49.13       -15.84   -17.22   -49.12     0.009
  -36.01     5.96   -21.58       -36.02     5.97   -21.57     0.014
   -8.79    12.15     3.52        -8.79    12.14     3.53     0.005
   19.73    17.50    46.05        19.89    17.75    46.08     0.308
  -38.63   -13.27   -43.03       -38.73   -13.29   -43.08     0.118
  -30.91    -8.99    -9.49       -30.91    -8.99    -9.42     0.065
   -2.81     0.00   -24.55        -2.80     0.01   -24.55     0.011
   37.73     2.45     2.69        37.65     2.50     2.69     0.088
   33.01     9.20    19.30        32.92     9.14    19.28     0.115
   -0.86   -12.77   -34.79        -0.87   -12.77   -34.78     0.007
  -35.23   -13.49   -48.47       -35.19   -13.47   -48.35     0.129
   -3.52    -9.37    22.31        -3.59    -9.56    22.37     0.210
   10.65    20.16    52.02        10.64    20.12    52.00     0.039
   25.51    11.34    48.23        25.59    11.39    48.24     0.089
   17.12   -15.67    -4.83        17.11   -15.64    -4.83     0.038
  -11.21    10.22    21.40       -11.22    10.22    21.41     0.019
   19.76    17.90    44.60        19.81    17.98    44.61     0.101
   12.88   -10.37   -15.52        12.82   -10.27   -15.43     0.148
   31.05    10.68   -20.62        31.11    10.74   -20.66     0.088
  -40.73    -6.27   -17.79       -40.81    -6.26   -17.74     0.093
    4.28   -19.64   -11.54         4.34   -19.75   -11.52     0.130
  -23.25   -31.96   -35.53       -23.24   -31.87   -35.50     0.097
  -40.76   -20.54   -32.73       -40.71   -20.52   -32.72     0.047
  -41.19   -11.96   -35.28       -41.02   -11.92   -35.22     0.178
   -1.22   -11.40   -37.09        -1.19   -11.41   -37.09     0.036
   10.66    -8.09    55.07        10.66    -8.08    55.04     0.026
   -3.96    -2.41    53.97        -4.05    -2.52    53.97     0.140
   -0.42   -13.60     8.23        -0.41   -13.48     8.21     0.114
   22.94   -11.94    -0.10        22.93   -11.92    -0.10     0.018
  -26.95   -28.11   -41.16       -26.94   -28.10   -41.15     0.012
  -17.71   -30.43   -20.44       -17.63   -30.55   -20.38     0.155
   -5.70   -26.26   -27.97        -5.72   -26.25   -27.97     0.022
   36.41     7.63    -8.27        36.39     7.62    -8.26     0.026
   -6.08     1.25    46.31        -6.21     1.20    46.30     0.143
    3.44    15.34    -1.98         3.47    15.32    -1.96     0.042
   -9.12   -26.18   -19.09        -9.08   -26.23   -19.07     0.059
   -6.55    -9.09    18.27        -6.55    -9.10    18.27     0.011
