400 PA5-F-Debug-Answer.txt 6
 -140.4921   22.1570   82.4247   67.9865  -45.2838  -35.6595
   -7.56   -12.61     4.44        -7.55   -12.57     4.42     0.049
  -15.07     6.02   -42.87       -15.10     5.99   -42.84     0.050
    9.36    24.70    35.46         9.38    24.58    35.41     0.129
   16.04     4.74    56.55        16.07     4.74    56.45     0.104
   -9.23     7.61   -15.19        -9.24     7.58   -15.18     0.034
   -9.64   -19.01    -6.35        -9.62   -18.94    -6.41     0.097
   17.49   -11.75     5.80        17.49   -11.78     5.81     0.026
  -31.70     0.90   -14.07       -31.73     0.93   -14.01     0.072
  -38.20     0.87   -38.32       -38.23     0.89   -38.33     0.037
   -2.06   -11.74    18.58        -2.04   -11.65    18.55     0.092
   39.23     8.29     5.67        39.20     8.28     5.67     0.039
   -3.88   -14.01     3.64        -3.88   -14.02     3.65     0.020
   15.20   -15.90    -3.66        15.20   -15.86    -3.66     0.049
  -18.25    17.87    21.40       -18.11    17.97    21.40     0.177
   29.50     3.89   -22.17        29.56     3.88   -22.21     0.076
   29.32     2.53    40.48        29.33     2.53    40.48     0.011
   30.09     1.26    36.00        30.15     1.23    36.01     0.073
   13.66    15.64   -27.20        13.67    15.64   -27.23     0.030
  -20.61   -20.45    -9.08       -20.61   -20.43    -9.17     0.089
  -17.72    17.24    20.39       -17.70    17.25    20.38     0.024
   -1.19    21.48     9.66        -1.21    21.49     9.65     0.018
  -12.15    11.55    21.63       -12.13    11.58    21.61     0.040
  -26.66   -22.73   -10.80       -26.65   -22.68   -10.86     0.081
   11.69    26.86    22.66        11.70    26.84    22.66     0.025
   28.35    19.90    -4.73        28.30    19.86    -4.73     0.068
   25.71    12.58    39.14        25.73    12.59    39.14     0.030
    4.41     5.69   -11.51         4.42     5.71   -11.53     0.034
  -39.45    -8.07   -40.32       -39.46    -8.07   -40.32     0.011
  -26.08    11.69   -29.35       -26.08    11.74   -29.36     0.048
   -2.91    -5.84    34.13        -3.00    -5.97    34.15     0.153
  -32.39   -18.54   -11.42       -32.39   -18.54   -11.42     0.007
   -2.52   -22.78   -14.64        -2.51   -22.81   -14.64     0.031
  -25.44   -27.71   -41.99       -25.44   -27.73   -42.01     0.029
   31.75    11.37   -17.15        31.76    11.38   -17.15     0.018
  -37.60   -14.11   -13.70       -37.54   -14.10   -13.74     0.068
   19.67   -10.32     6.87        19.66   -10.31     6.87     0.011
  -20.45   -21.46    -9.62       -20.45   -21.48    -9.60     0.035
   27.57     3.86    48.88        27.67     3.86    48.91     0.105
   25.60    13.13    36.69        25.49    13.04    36.68     0.148
   23.00    14.75    48.40        22.94    14.69    48.38     0.083
  -19.63    -0.40   -49.51       -19.63    -0.39   -49.51     0.005
    3.28    -7.84    34.70         3.28    -7.79    34.70     0.050
   -6.35     6.81    51.54        -6.23     6.76    51.55     0.134
  -35.33    -1.42   -45.28       -35.33    -1.42   -45.29     0.011
   29.26     9.30   -24.00        29.24     9.29   -23.98     0.025
   -6.18     1.11    33.55        -6.11     1.13    33.54     0.080
   -8.34   -23.12    -9.71        -8.35   -23.06    -9.75     0.069
   -5.38    -0.94    45.07        -5.46    -0.96    45.07     0.085
  -18.08    10.59   -34.07       -18.08    10.61   -34.07     0.015
   29.26    -2.96    28.90        29.35    -3.05    28.93     0.123
   25.09    -8.11   -18.54        25.07    -8.12   -18.61     0.066
  -15.61   -10.75   -49.77       -15.60   -10.75   -49.79     0.022
   -7.86   -27.64   -26.38        -7.84   -27.68   -26.37     0.043
    7.72    22.47    42.04         7.72    22.40    42.02     0.073
   16.26    27.25     7.62        16.28    27.30     7.62     0.053
   14.98    -6.36    25.92        14.98    -6.43    25.93     0.075
   11.12    -7.06    36.51        11.09    -6.86    36.51     0.204
   10.53    26.48     1.82        10.53    26.49     1.82     0.020
   -2.58    15.76     3.91        -2.57    15.74     3.92     0.037
  -25.47   -31.97   -34.45       -25.46   -31.91   -34.43     0.058
    6.05    13.57    -3.86         6.02    13.59    -3.90     0.060
   28.37    11.50   -23.29        28.33    11.46   -23.23     0.086
   27.08   -11.54   -17.98        27.16   -11.54   -18.06     0.118
   23.41    -3.18    56.26        23.40    -3.18    56.25     0.008
  -38.91   -17.33   -16.22       -38.91   -17.33   -16.21     0.009
    0.47    -7.00   -26.62         0.47    -6.99   -26.63     0.007
  -11.90     8.75   -24.55       -11.92     8.67   -24.55     0.083
   -6.51     3.28    37.08        -6.44     3.29    37.07     0.068
   36.75    11.76     0.99        36.73    11.74     0.99     0.031
    8.57   -16.28    -2.30         8.56   -16.41    -2.24     0.142
   18.11   -14.24    -8.86        18.05   -14.37    -8.95     0.175
   34.81    -3.96    10.36        34.77    -3.94    10.36     0.047
   13.94    25.38    36.23        13.93    25.42    36.24     0.041
  -37.84   -21.64   -17.62       -37.84   -21.64   -17.62     0.005
    6.82    -6.18   -19.81         6.74    -6.19   -19.70     0.130
   29.38     9.06   -23.98        29.38     9.06   -23.99     0.006
   34.00     4.40    21.29        34.01     4.40    21.29     0.009
  -13.29   -16.52   -48.27       -13.31   -16.51   -48.24     0.041
    4.51    10.53    -5.43         4.51    10.57    -5.47     0.049
  -37.32   -21.06   -16.71       -37.40   -21.10   -16.65     0.105
  -15.85    -6.96     4.44       -15.84    -6.96     4.44     0.011
    4.04    24.41    33.06         4.04    24.58    33.11     0.181
    5.77   -14.68     2.07         5.78   -14.78     2.10     0.101
  -10.01    -6.94    12.53        -9.96    -6.90    12.50     0.079
  -37.20   -18.64   -43.22       -37.10   -18.58   -43.14     0.145
  -16.62     3.77     9.12       -16.51     3.81     9.09     0.117
   33.03     7.96    21.29        33.00     7.95    21.28     0.028
   -9.88    29.92    23.10        -9.88    29.94    23.10     0.016
   35.10    -1.31    -5.38        35.18    -1.34    -5.37     0.089
   13.58    24.63   -13.10        13.58    24.65   -13.10     0.018
  -22.79   -32.67   -25.90       -22.79   -32.59   -25.90     0.076
   27.61     4.52    49.20        27.58     4.52    49.20     0.024
    0.48    13.43    55.59         0.52    13.40    55.50     0.101
   21.33   -12.28     0.35        21.32   -12.25     0.34     0.033
    1.51   -11.17   -27.58         1.50   -11.18   -27.57     0.020
   -5.83     7.42    54.38        -5.80     7.40    54.35     0.055
   -5.49    -0.62    48.50        -5.50    -0.62    48.51     0.006
  -18.29     8.35   -16.05       -18.26     8.23   -16.10     0.136
   30.31     9.38    27.93        30.30     9.37    27.93     0.016
  -35.20   -27.56   -34.82       -35.21   -27.57   -34.83     0.011
   26.27    -0.53    52.39        26.21    -0.52    52.38     0.069
  -38.98   -16.45   -40.12       -39.08   -16.49   -40.16     0.118
  -30.25   -28.32   -39.04       -30.31   -28.43   -39.10     0.137
   11.99     7.65   -11.95        11.92     7.61   -11.99     0.085
  -37.67   -22.02   -39.48       -37.63   -21.99   -39.46     0.052
  -12.26   -18.14    -6.53       -12.26   -18.15    -6.52     0.018
   -8.39    19.23    11.67        -8.39    19.21    11.69     0.028
    9.52     6.14    -9.33         9.53     6.15    -9.35     0.024
   26.27     1.00   -24.03        26.26     0.95   -24.08     0.070
  -40.97   -16.74   -18.29       -40.93   -16.73   -18.32     0.052
  -36.26     6.59   -24.51       -36.31     6.64   -24.50     0.067
   31.11    -0.84    29.51        31.02    -0.80    29.49     0.096
   28.33     0.77    44.12        28.28     0.79    44.12     0.054
   -1.20    24.14    35.28        -1.17    24.26    35.33     0.137
   27.56     3.61    49.99        27.42     3.61    49.96     0.140
    1.98   -21.13   -14.64         1.96   -21.05   -14.64     0.086
  -13.75   -25.23   -13.84       -13.76   -25.20   -13.85     0.034
   -2.89   -14.71     2.84        -2.89   -14.61     2.77     0.126
   35.50    -3.07    12.21        35.52    -3.09    12.21     0.025
  -20.18     7.65   -16.05       -20.18     7.69   -16.03     0.045
   11.44    24.72    36.24        11.45    24.67    36.22     0.051
    8.10    17.80   -14.32         8.00    17.74   -14.30     0.117
  -20.50   -20.49   -48.91       -20.51   -20.48   -48.88     0.027
  -19.27    21.08    18.16       -19.23    21.06    18.17     0.045
   23.69    -4.59    54.14        23.66    -4.57    54.13     0.032
   -5.35   -20.67    -7.30        -5.36   -20.62    -7.34     0.067
   27.36    -1.01    46.82        27.29    -0.98    46.81     0.075
  -30.87   -26.76   -17.10       -30.87   -26.76   -17.10     0.004
    8.59    20.74    50.11         8.60    20.72    50.10     0.023
  -20.15   -28.67   -16.00       -20.18   -28.61   -16.06     0.095
  -12.99   -27.91   -19.77       -12.99   -27.90   -19.78     0.018
   -3.96    20.41    11.38        -3.95    20.38    11.41     0.046
   -6.24     2.47    48.14        -6.30     2.47    48.15     0.057
  -32.11   -30.14   -28.97       -32.16   -30.26   -28.97     0.134
  -26.76     1.78   -13.52       -26.78     1.80   -13.50     0.030
    1.48    18.78     3.40         1.48    18.77     3.40     0.012
    9.42    27.80    11.56         9.41    27.90    11.56     0.096
    8.18   -16.96    -5.12         8.19   -17.04    -5.11     0.085
  -23.60   -10.38    -5.69       -23.58   -10.36    -5.74     0.052
   12.45    -0.44    56.68        12.45    -0.43    56.66     0.017
   -6.02   -26.38   -28.68        -6.05   -26.33   -28.67     0.062
   30.85    16.78    -6.55        30.92    16.85    -6.55     0.098
   27.78     0.44    46.11        27.89     0.42    46.14     0.112
    2.68    24.02     8.15         2.79    23.86     8.18     0.194
   30.98    -1.44    28.98        30.84    -1.34    28.95     0.175
   -3.78   -22.64   -34.84        -3.78   -22.65   -34.85     0.016
  -34.59     7.54   -34.02       -34.65     7.63   -34.05     0.116
    4.17   -19.94   -12.43         4.20   -20.01   -12.42     0.080
   -3.53    22.97    12.69        -3.40    22.88    12.83     0.214
  -39.23   -24.87   -28.34       -39.28   -24.92   -28.33     0.070
    7.47    18.82    -8.35         7.53    18.87    -8.31     0.085
  -18.96   -27.34   -43.11       -18.96   -27.35   -43.12     0.012
  -24.45   -30.14   -38.94       -24.45   -30.14   -38.94     0.001
   -5.96   -10.92   -43.47        -5.95   -10.92   -43.48     0.014
  -35.73     3.97   -39.91       -35.71     3.95   -39.89     0.032
  -41.66   -20.35   -28.76       -41.73   -20.38   -28.76     0.077
  -14.71   -27.79   -40.99       -14.71   -27.79   -40.99     0.003
   22.97    15.19    44.18        23.10    15.31    44.21     0.176
  -34.72     3.42   -41.44       -34.73     3.42   -41.44     0.008
   -0.46   -13.27     9.27        -0.46   -13.31     9.27     0.036
  -39.99   -11.92   -38.04       -39.91   -11.91   -38.01     0.088
   39.38     5.96    -2.45        39.39     5.96    -2.44     0.009
   16.76     0.46   -16.97        16.77     0.46   -16.96     0.020
   16.36    -6.47    39.60        16.35    -6.33    39.60     0.146
   -3.25    -3.02    55.28        -3.28    -3.04    55.32     0.049
    0.65    26.11    30.09         0.60    25.96    30.03     0.166
   28.45    16.85    16.08        28.43    16.84    16.07     0.019
   22.88    -5.92    42.38        22.87    -5.82    42.38     0.095
   32.61    -0.86    24.50        32.44    -0.81    24.42     0.190
    2.24    23.91     9.15         2.27    23.82     9.18     0.106
   27.16    22.26     5.87        27.12    22.23     5.87     0.044
   -9.27    -6.82    14.08        -9.25    -6.80    14.08     0.023
   23.74   -12.09    -2.73        23.79   -12.22    -2.71     0.138
  -39.87     2.62   -30.70       -39.91     2.64   -30.70     0.038
    2.05    18.75    52.72         2.03    18.81    52.73     0.064
   16.70    12.22    55.41        16.70    12.22    55.41     0.003
    9.88    -8.23    50.98         9.88    -8.21    50.98     0.019
   37.02     4.56    14.42        37.11     4.58    14.47     0.097
  -25.10   -32.48   -32.02       -25.10   -32.48   -32.02     0.001
  -24.16    10.64   -37.43       -24.14    10.53   -37.41     0.115
   -2.40     7.54   -12.02        -2.41     7.47   -12.00     0.072
  -39.38   -23.05   -21.72       -39.35   -23.02   -21.74     0.049
  -25.98   -23.19   -11.21       -25.98   -23.19   -11.21     0.001
   34.55     4.15   -13.78        34.59     4.18   -13.82     0.061
   34.31     3.49    20.91        34.27     3.48    20.90     0.046
  -29.80   -25.02   -43.76       -29.80   -25.02   -43.76     0.008
   22.27    -6.12    46.08        22.25    -6.06    46.08     0.063
  -29.65   -13.19    -9.01       -29.62   -13.15    -9.09     0.089
    9.84    24.41    -4.88         9.90    24.24    -4.84     0.179
   15.63   -15.22    -5.81        15.65   -15.17    -5.79     0.066
  -34.93     8.78   -27.33       -34.87     8.71   -27.33     0.090
   -5.30    10.33    45.08        -5.24    10.31    45.07     0.065
  -24.61     8.61   -18.73       -24.60     8.53   -18.84     0.141
  -25.57    10.84   -35.92       -25.57    10.77   -35.89     0.080
  -43.78   -13.65   -29.60       -43.74   -13.64   -29.60     0.045
  -11.53    22.00    33.69       -11.60    22.00    33.76     0.098
   14.23    -6.29    27.06        14.24    -6.38    27.06     0.095
  -23.24     9.47   -20.06       -23.24     9.47   -20.06     0.000
  -24.80   -32.59   -24.74       -24.80   -32.63   -24.73     0.036
   31.56     3.27    30.77        31.53     3.27    30.77     0.026
   10.42    -0.52    56.86        10.42    -0.53    56.88     0.017
  -35.34    -1.89   -45.55       -35.32    -1.91   -45.51     0.051
  -27.53   -31.43   -22.47       -27.55   -31.47   -22.44     0.045
   12.76    26.53     1.73        12.75    26.65     1.69     0.133
  -35.11     2.69   -41.99       -35.16     2.75   -42.07     0.115
   21.22   -11.25     2.68        21.25   -11.33     2.71     0.095
   26.21   -12.72    -8.97        26.24   -12.85    -8.93     0.139
   38.10     3.35     1.42        38.02     3.39     1.43     0.093
  -30.06    -2.74   -48.88       -30.06    -2.74   -48.87     0.006
   -4.94    -6.62    29.24        -4.92    -6.60    29.22     0.034
   31.13    15.34    13.97        31.14    15.34    13.98     0.011
   21.08    -7.05    17.59        21.08    -7.05    17.59     0.003
  -31.40   -30.75   -29.61       -31.33   -30.60   -29.61     0.165
   -8.13     7.91    29.51        -8.22     7.91    29.53     0.095
   17.83   -15.35    -4.03        17.83   -15.35    -4.03     0.001
   -5.75    -0.71    33.58        -5.66    -0.69    33.57     0.092
  -35.67    -8.03   -47.46       -35.65    -8.03   -47.44     0.026
    0.12    -7.39    33.54         0.11    -7.42    33.55     0.036
  -15.93     1.97     9.15       -16.04     1.96     9.20     0.123
  -39.48    -9.19   -40.78       -39.46    -9.18   -40.78     0.018
   36.44     7.99    -7.38        36.61     8.10    -7.48     0.220
   20.62     2.64    56.82        20.62     2.65    56.85     0.029
  -30.32   -16.42   -49.01       -30.32   -16.43   -49.07     0.059
   13.37    28.02    16.67        13.37    28.01    16.67     0.002
  -37.72   -13.98   -45.05       -37.69   -13.97   -45.03     0.035
   -6.98    29.00    21.86        -6.96    29.07    21.84     0.076
   20.75    -7.85   -16.01        20.78    -7.80   -15.97     0.068
    9.74    -7.17    34.70         9.74    -7.20    34.71     0.028
   -5.46    -0.31   -29.50        -5.41    -0.26   -29.50     0.071
   -3.96    28.17    21.07        -4.01    28.00    21.08     0.171
  -12.82     9.13   -15.10       -12.83     9.11   -15.10     0.025
   16.27   -12.70     5.12        16.26   -12.69     5.11     0.008
    0.86    19.14     4.98         0.86    19.14     4.98     0.004
   -2.52   -12.38    14.82        -2.51   -12.34    14.82     0.039
   30.41     4.26    34.89        30.51     4.26    34.91     0.096
   31.43    12.70    16.23        31.41    12.69    16.22     0.027
   27.28    21.95     2.68        27.22    21.89     2.69     0.081
  -25.41   -25.78   -13.14       -25.41   -25.79   -13.14     0.005
   -2.53    -4.10    50.72        -2.46    -4.03    50.71     0.099
   -4.35   -15.19   -40.00        -4.36   -15.19   -39.99     0.013
   22.32    17.80   -22.46        22.30    17.78   -22.43     0.040
   -9.66    11.99    28.32        -9.57    12.04    28.29     0.105
  -14.60     7.66     4.77       -14.64     7.70     4.75     0.060
  -34.27    -0.72   -14.65       -34.25    -0.67   -14.64     0.048
   -4.38     2.70   -22.25        -4.38     2.71   -22.25     0.012
   28.51    21.54     9.17        28.38    21.41     9.16     0.185
   11.39     5.01    56.31        11.39     5.01    56.31     0.005
   14.71    -1.71   -17.01        14.71    -1.71   -17.00     0.009
   31.23    18.64     9.01        31.13    18.54     9.01     0.135
   -9.30     3.38    24.56        -9.14     3.42    24.51     0.176
   22.07   -12.54    -1.16        22.06   -12.51    -1.17     0.035
   34.35    -4.01     9.53        34.57    -4.13     9.50     0.256
  -31.99     9.47   -22.85       -32.06     9.61   -22.80     0.162
   34.24     7.87    16.59        34.31     7.90    16.62     0.079
   29.89    13.30   -19.31        29.83    13.26   -19.28     0.083
   19.86   -12.69     0.79        19.87   -12.70     0.80     0.013
   30.84    -4.93   -18.53        30.83    -4.91   -18.50     0.038
  -17.04   -29.37   -18.84       -17.04   -29.36   -18.84     0.004
   -7.50    -5.07    23.74        -7.48    -5.06    23.74     0.026
    5.27    -9.61    19.55         5.30    -9.73    19.61     0.143
  -25.08     5.61   -16.23       -25.08     5.57   -16.27     0.059
   28.03     4.28    46.54        28.14     4.28    46.57     0.111
  -17.97     3.94    -2.61       -17.93     3.89    -2.62     0.063
   -5.87    15.60    40.39        -5.69    15.64    40.34     0.195
   18.44   -12.79     2.51        18.40   -12.71     2.48     0.090
   14.10    27.91    15.71        14.09    27.87    15.71     0.046
  -32.14     4.11   -15.85       -32.13     4.06   -15.92     0.092
  -10.04   -25.11   -13.60       -10.03   -25.14   -13.60     0.031
   23.76    -4.96    47.54        23.84    -5.03    47.57     0.113
  -38.87   -13.11   -42.46       -38.89   -13.11   -42.46     0.017
   17.79    -7.74    52.45        17.76    -7.53    52.42     0.221
  -14.26    12.97    20.25       -14.36    12.88    20.29     0.141
   24.94    12.12    50.25        24.83    12.07    50.23     0.119
    5.32    19.22    54.03         5.32    19.22    54.04     0.008
   15.44   -15.59    -4.88        15.47   -15.52    -4.85     0.087
  -11.53   -20.73   -45.28       -11.49   -20.74   -45.34     0.069
    4.96    21.33    -0.69         4.94    21.34    -0.69     0.018
  -37.44   -15.31   -13.94       -37.42   -15.31   -13.95     0.021
   31.61    -6.60    10.20        31.62    -6.53    10.16     0.081
   29.86    -7.64   -18.22        29.78    -7.57   -18.17     0.115
    3.58    20.49     1.40         3.59    20.49     1.41     0.009
  -23.05   -10.27    -5.39       -23.09   -10.29    -5.34     0.060
  -38.07    -6.67   -42.84       -38.18    -6.63   -42.89     0.130
  -44.28    -7.07   -25.19       -44.19    -7.09   -25.22     0.089
   31.55     8.46   -22.31        31.55     8.46   -22.31     0.006
   31.54    18.32     5.51        31.53    18.30     5.51     0.024
    5.31   -15.28   -19.60         5.37   -15.29   -19.65     0.076
   16.17   -10.03     9.97        16.16    -9.99     9.94     0.054
   28.11    -3.06   -21.26        28.06    -3.06   -21.33     0.092
   13.93   -15.82    -2.23        13.95   -15.93    -2.25     0.109
   -5.01   -23.89   -33.81        -5.00   -23.91   -33.82     0.032
  -16.72    16.24    22.96       -16.66    16.30    22.95     0.083
   -4.45     0.18   -26.23        -4.42     0.22   -26.25     0.065
  -37.76   -22.64   -38.58       -37.77   -22.65   -38.59     0.012
  -15.84   -17.22   -49.13       -15.83   -17.23   -49.14     0.013
  -36.02     5.95   -21.57       -36.03     5.95   -21.57     0.011
   -8.80    12.14     3.53        -8.80    12.14     3.53     0.005
   19.72    17.49    46.06        19.89    17.76    46.08     0.318
  -38.63   -13.27   -43.02       -38.76   -13.29   -43.05     0.130
  -30.91    -9.01    -9.48       -30.91    -9.00    -9.43     0.053
   -2.81     0.01   -24.54        -2.80     0.01   -24.55     0.010
   37.72     2.47     2.69        37.64     2.52     2.70     0.095
   33.01     9.21    19.30        32.90     9.13    19.28     0.138
   -0.86   -12.76   -34.79        -0.86   -12.76   -34.78     0.008
  -35.22   -13.50   -48.47       -35.20   -13.48   -48.37     0.109
   -3.52    -9.38    22.31        -3.58    -9.55    22.37     0.193
   10.64    20.15    52.03        10.63    20.13    52.02     0.028
   25.50    11.34    48.23        25.58    11.39    48.25     0.089
   17.12   -15.66    -4.83        17.11   -15.63    -4.83     0.036
  -11.21    10.21    21.41       -11.22    10.21    21.41     0.003
   19.75    17.90    44.60        19.81    17.99    44.62     0.110
   12.88   -10.36   -15.52        12.82   -10.26   -15.43     0.147
   31.05    10.70   -20.62        31.09    10.75   -20.65     0.071
  -40.73    -6.29   -17.79       -40.81    -6.28   -17.74     0.088
    4.29   -19.63   -11.54         4.35   -19.75   -11.52     0.136
  -23.24   -31.96   -35.54       -23.23   -31.88   -35.51     0.087
  -40.75   -20.55   -32.73       -40.72   -20.54   -32.72     0.037
  -41.18   -11.97   -35.28       -41.03   -11.93   -35.22     0.166
   -1.22   -11.39   -37.09        -1.18   -11.40   -37.09     0.036
   10.66    -8.10    55.07        10.66    -8.08    55.05     0.025
   -3.96    -2.43    53.97        -4.03    -2.51    53.97     0.113
   -0.41   -13.60     8.23        -0.41   -13.48     8.21     0.123
   22.94   -11.93    -0.10        22.94   -11.91    -0.10     0.019
  -26.94   -28.11   -41.16       -26.94   -28.11   -41.16     0.002
  -17.70   -30.44   -20.45       -17.63   -30.55   -20.39     0.148
   -5.69   -26.26   -27.98        -5.71   -26.25   -27.97     0.019
   36.40     7.65    -8.27        36.38     7.63    -8.25     0.032
   -6.08     1.23    46.32        -6.19     1.20    46.31     0.119
    3.43    15.34    -1.97         3.49    15.31    -1.94     0.069
   -9.11   -26.18   -19.09        -9.08   -26.23   -19.07     0.058
   -6.54    -9.10    18.27        -6.54    -9.09    18.27     0.009
